	Domain	Phylum	Class	Order	Family	Genus	Species
OTU911200	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU913308	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU913786	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU914921	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU914967	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU917769	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU918125	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU920292	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU922831	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU923540	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1051859	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1077859	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1121516	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1124356	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1128672	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1133685	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1135571	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1137775	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1140364	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1143590	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1158750	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU116584	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU1319816	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU148	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU156	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU157	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU158796	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU204233	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU213	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU257254	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU331	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU65	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU776469	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	unclassified_Davidiellaceae	unclassified_Davidiellaceae
OTU236471	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora
OTU314128	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora
OTU411597	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora
OTU460445	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Cercospora
OTU21870	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercosporella	Cercosporella
